pseudobulk_sample,species,pseudobulk_donor,n_cells
Human__H18.30.001,Human,H18.30.001,759
Human__H18.30.002,Human,H18.30.002,7345
Human__H19.30.001,Human,H19.30.001,12912
Human__H19.30.002,Human,H19.30.002,7837
Mouse__Snap25-IRES2-Cre;Ai14-374159,Mouse,Snap25-IRES2-Cre;Ai14-374159,0
Mouse__Snap25-IRES2-Cre;Ai14-374160,Mouse,Snap25-IRES2-Cre;Ai14-374160,0
Mouse__Snap25-IRES2-Cre;Ai14-385670,Mouse,Snap25-IRES2-Cre;Ai14-385670,0
Mouse__Snap25-IRES2-Cre;Ai14-395342,Mouse,Snap25-IRES2-Cre;Ai14-395342,0
Mouse__Snap25-IRES2-Cre;Ai14-395345,Mouse,Snap25-IRES2-Cre;Ai14-395345,0
Mouse__Snap25-IRES2-Cre;Ai14-525798,Mouse,Snap25-IRES2-Cre;Ai14-525798,0
Mouse__Snap25-IRES2-Cre;Ai14-562458,Mouse,Snap25-IRES2-Cre;Ai14-562458,0
Mouse__Snap25-IRES2-Cre;Ai14-562810,Mouse,Snap25-IRES2-Cre;Ai14-562810,0
Mouse__Snap25-IRES2-Cre;Ai14-565823,Mouse,Snap25-IRES2-Cre;Ai14-565823,0
Mouse__Snap25-IRES2-Cre;Ai14-565913,Mouse,Snap25-IRES2-Cre;Ai14-565913,0
RhesusM__Q19.26.010,RhesusM,Q19.26.010,5601
RhesusM__Q19.26.011,RhesusM,Q19.26.011,6891
RhesusM__Q19.26.015,RhesusM,Q19.26.015,3702
